supplier_number,Join_Year,article_count,negative_count,positive_count,neutral_count,avg_sentiment_score,avg_relevance_score,max_relevance_score,negative_ratio,has_high_relevance_negative_news
38224,2025,4,1,2,1,0.25,3.75,4.0,0.25,1
38224,2026,27,4,20,3,0.5925925925925926,4.2555555555555555,5.0,0.14814814814814814,1
38224,2027,30,18,6,6,-0.4,3.9066666666666667,5.0,0.6,1
38232,2017,3,0,1,2,0.3333333333333333,3.0,3.0,0.0,0
38232,2018,2,0,2,0,1.0,3.25,3.5,0.0,0
38232,2021,2,0,2,0,1.0,4.5,5.0,0.0,0
38232,2022,3,0,3,0,1.0,3.3333333333333335,3.5,0.0,0
38232,2023,9,1,7,1,0.6666666666666666,3.388888888888889,4.0,0.1111111111111111,1
38232,2024,5,1,4,0,0.6,3.2399999999999998,3.5,0.2,0
38232,2025,2,0,1,1,0.5,4.25,5.0,0.0,0
38232,2026,9,1,7,1,0.6666666666666666,4.188888888888889,5.0,0.1111111111111111,1
38232,2027,11,0,8,3,0.7272727272727273,4.2727272727272725,5.0,0.0,0
38292,2021,1,0,1,0,1.0,3.5,3.5,0.0,0
38331,2025,1,0,1,0,1.0,3.5,3.5,0.0,0
38433,2026,1,1,0,0,-1.0,4.5,4.5,1.0,1
