,Country,Code,LPI_Score,Customs,Infrastructure,International_Shipments,Logistics_Competence,Tracking_Tracing,Timeliness,Year,PPI_Value
1211,Poland,,3.493829,3.25534,3.083333,3.456749,3.465008,3.543212,4.133248,2017,88.0
1212,Poland,POL,3.539533,3.253458,3.208902,3.678499,3.580044,3.505663,3.954262,2018,90.5
1213,Poland,,3.539533,3.253458,3.208902,3.678499,3.580044,3.505663,3.954262,2019,91.9
1214,Poland,,3.539533,3.253458,3.208902,3.678499,3.580044,3.505663,3.954262,2020,91.0
1215,Poland,,3.539533,3.253458,3.208902,3.678499,3.580044,3.505663,3.954262,2021,100.0
1216,Poland,,3.539533,3.253458,3.208902,3.678499,3.580044,3.505663,3.954262,2022,128.9
1217,Poland,POL,3.6,3.4,3.5,3.3,3.6,3.8,3.9,2023,134.0
1218,Poland,,3.6,3.4,3.5,3.3,3.6,3.8,3.9,2024,125.1
1219,Poland,,3.6,3.4,3.5,3.3,3.6,3.8,3.9,2025,123.6
1220,Portugal,PRT,3.380606895403628,3.24,3.16,3.22727,3.19048,3.44444,4.05882,2007,84.5
1221,Portugal,,3.380606895403628,3.24,3.16,3.22727,3.19048,3.44444,4.05882,2008,88.3
1222,Portugal,,3.380606895403628,3.24,3.16,3.22727,3.19048,3.44444,4.05882,2009,84.8
1223,Portugal,PRT,3.33504,3.3125,3.166295,3.023438,3.309152,3.38058,3.843364,2010,87.7
1224,Portugal,,3.33504,3.3125,3.166295,3.023438,3.309152,3.38058,3.843364,2011,91.7
1225,Portugal,PRT,3.502831,3.190168,3.420244,3.429284,3.484563,3.604355,3.883898,2012,94.7
1226,Portugal,,3.502831,3.190168,3.420244,3.429284,3.484563,3.604355,3.883898,2013,95.3
1227,Portugal,PRT,3.560284,3.263158,3.372114,3.42767,3.713122,3.713122,3.868503,2014,94.3
1228,Portugal,,3.560284,3.263158,3.372114,3.42767,3.713122,3.713122,3.868503,2015,91.6
1229,Portugal,,3.560284,3.263158,3.372114,3.42767,3.713122,3.713122,3.868503,2016,90.2
1230,Portugal,,3.560284,3.263158,3.372114,3.42767,3.713122,3.713122,3.868503,2017,93.4
1231,Portugal,PRT,3.643184,3.17135,3.247268,3.826492,3.705938,3.719307,4.125922,2018,95.8
1232,Portugal,,3.643184,3.17135,3.247268,3.826492,3.705938,3.719307,4.125922,2019,95.5
1233,Portugal,,3.643184,3.17135,3.247268,3.826492,3.705938,3.719307,4.125922,2020,92.3
1234,Portugal,,3.643184,3.17135,3.247268,3.826492,3.705938,3.719307,4.125922,2021,100.0
1235,Portugal,,3.643184,3.17135,3.247268,3.826492,3.705938,3.719307,4.125922,2022,119.7
1236,Portugal,PRT,3.4,3.2,3.6,3.1,3.6,3.2,3.6,2023,118.3
1237,Portugal,,3.4,3.2,3.6,3.1,3.6,3.2,3.6,2024,118.9
1238,Portugal,,3.4,3.2,3.6,3.1,3.6,3.2,3.6,2025,115.9
1239,Qatar,QAT,2.9763268305059345,2.44444,2.625,3.0,3.0,3.16667,3.66667,2007,
1240,Qatar,QAT,2.95016,2.251701,2.751701,2.918367,2.571429,3.085034,4.085034,2010,
